target,target_type,correct_ans,trigger
bailaba,word,2,1
lailaba,word,1,2
bailabas,word,2,1
lailabas,word,1,2
bailábamos,word,2,1
lailábamos,word,1,2
bailaban,word,2,1
lailaban,word,1,2
bailaría,word,2,1
lailaría,word,1,2
bailarías,word,2,1
lailarías,word,1,2
bailaríamos,word,2,1
lailaríamos,word,1,2
bailarían,word,2,1
lailarían,word,1,2
bailaré,word,2,1
lailaré,word,1,2
bailarás,word,2,1
lailarás,word,1,2
bailará,word,2,1
lailará,word,1,2
bailaremos,word,2,1
lailaremos,word,1,2
bailarán,word,2,1
lailarán,word,1,2
besaba,word,2,1
bimaba,word,1,2
besabas,word,2,1
bimabas,word,1,2
besábamos,word,2,1
bimábamos,word,1,2
besaban,word,2,1
bimaban,word,1,2
besaría,word,2,1
bimaría,word,1,2
besarías,word,2,1
bimarías,word,1,2
besaríamos,word,2,1
bimaríamos,word,1,2
besarían,word,2,1
bimarían,word,1,2
besaré,word,2,1
bimaré,word,1,2
besarás,word,2,1
bimarás,word,1,2
besará,word,2,1
bimará,word,1,2
besaremos,word,2,1
bimaremos,word,1,2
besarán,word,2,1
bimarán,word,1,2
casaba,word,2,1
pavaba,word,1,2
casabas,word,2,1
pavabas,word,1,2
casábamos,word,2,1
pavábamos,word,1,2
casaban,word,2,1
pavaban,word,1,2
casaría,word,2,1
pavaría,word,1,2
casarías,word,2,1
pavarías,word,1,2
casaríamos,word,2,1
pavaríamos,word,1,2
casarían,word,2,1
pavarían,word,1,2
casaré,word,2,1
pavaré,word,1,2
casarás,word,2,1
pavarás,word,1,2
casará,word,2,1
pavará,word,1,2
casaremos,word,2,1
pavaremos,word,1,2
casarán,word,2,1
pavarán,word,1,2
cenaba,word,2,1
cisaba,word,1,2
cenabas,word,2,1
cisabas,word,1,2
cenábamos,word,2,1
cisábamos,word,1,2
cenaban,word,2,1
cisaban,word,1,2
cenaría,word,2,1
cisaría,word,1,2
cenarías,word,2,1
cisarías,word,1,2
cenaríamos,word,2,1
cisaríamos,word,1,2
cenarían,word,2,1
cisarían,word,1,2
cenaré,word,2,1
cisaré,word,1,2
cenarás,word,2,1
cisarás,word,1,2
cenará,word,2,1
cisará,word,1,2
cenaremos,word,2,1
cisaremos,word,1,2
cenarán,word,2,1
cisarán,word,1,2
charlaba,word,2,1
chanraba,word,1,2
charlabas,word,2,1
chanrabas,word,1,2
charlábamos,word,2,1
chanrábamos,word,1,2
charlaban,word,2,1
chanraban,word,1,2
charlaría,word,2,1
chanraría,word,1,2
charlarías,word,2,1
chanrarías,word,1,2
charlaríamos,word,2,1
chanraríamos,word,1,2
charlarían,word,2,1
chanrarían,word,1,2
charlaré,word,2,1
chanraré,word,1,2
charlarás,word,2,1
chanrarás,word,1,2
charlará,word,2,1
chanrará,word,1,2
charlaremos,word,2,1
chanraremos,word,1,2
charlarán,word,2,1
chanrarán,word,1,2
cortaba,word,2,1
mertaba,word,1,2
cortabas,word,2,1
mertabas,word,1,2
cortábamos,word,2,1
mertábamos,word,1,2
cortaban,word,2,1
mertaban,word,1,2
cortaría,word,2,1
mertaría,word,1,2
cortarías,word,2,1
mertarías,word,1,2
cortaríamos,word,2,1
mertaríamos,word,1,2
cortarían,word,2,1
mertarían,word,1,2
cortaré,word,2,1
mertaré,word,1,2
cortarás,word,2,1
mertarás,word,1,2
cortará,word,2,1
mertará,word,1,2
cortaremos,word,2,1
mertaremos,word,1,2
cortarán,word,2,1
mertarán,word,1,2
faltaba,word,2,1
vultaba,word,1,2
faltabas,word,2,1
vultabas,word,1,2
faltábamos,word,2,1
vultábamos,word,1,2
faltaban,word,2,1
vultaban,word,1,2
faltaría,word,2,1
vultaría,word,1,2
faltarías,word,2,1
vultarías,word,1,2
faltaríamos,word,2,1
vultaríamos,word,1,2
faltarían,word,2,1
vultarían,word,1,2
faltaré,word,2,1
vultaré,word,1,2
faltarás,word,2,1
vultarás,word,1,2
faltará,word,2,1
vultará,word,1,2
faltaremos,word,2,1
vultaremos,word,1,2
faltarán,word,2,1
vultarán,word,1,2
formaba,word,2,1
lorgaba,word,1,2
formabas,word,2,1
lorgabas,word,1,2
formábamos,word,2,1
lorgábamos,word,1,2
formaban,word,2,1
lorgaban,word,1,2
formaría,word,2,1
lorgaría,word,1,2
formarías,word,2,1
lorgarías,word,1,2
formaríamos,word,2,1
lorgaríamos,word,1,2
formarían,word,2,1
lorgarían,word,1,2
formaré,word,2,1
lorgaré,word,1,2
formarás,word,2,1
lorgarás,word,1,2
formará,word,2,1
lorgará,word,1,2
formaremos,word,2,1
lorgaremos,word,1,2
formarán,word,2,1
lorgarán,word,1,2
juraba,word,2,1
zusaba,word,1,2
jurabas,word,2,1
zusabas,word,1,2
jurábamos,word,2,1
zusábamos,word,1,2
juraban,word,2,1
zusaban,word,1,2
juraría,word,2,1
zusaría,word,1,2
jurarías,word,2,1
zusarías,word,1,2
juraríamos,word,2,1
zusaríamos,word,1,2
jurarían,word,2,1
zusarían,word,1,2
juraré,word,2,1
zusaré,word,1,2
jurarás,word,2,1
zusarás,word,1,2
jurará,word,2,1
zusará,word,1,2
juraremos,word,2,1
zusaremos,word,1,2
jurarán,word,2,1
zusarán,word,1,2
luchaba,word,2,1
burraba,word,1,2
luchabas,word,2,1
burrabas,word,1,2
luchábamos,word,2,1
burrábamos,word,1,2
luchaban,word,2,1
burraban,word,1,2
lucharía,word,2,1
burraría,word,1,2
lucharías,word,2,1
burrarías,word,1,2
lucharíamos,word,2,1
burraríamos,word,1,2
lucharían,word,2,1
burrarían,word,1,2
lucharé,word,2,1
burraré,word,1,2
lucharás,word,2,1
burrarás,word,1,2
luchará,word,2,1
burrará,word,1,2
lucharemos,word,2,1
burraremos,word,1,2
lucharán,word,2,1
burrarán,word,1,2
nadaba,word,2,1
galaba,word,1,2
nadabas,word,2,1
galabas,word,1,2
nadábamos,word,2,1
galábamos,word,1,2
nadaban,word,2,1
galaban,word,1,2
nadaría,word,2,1
galaría,word,1,2
nadarías,word,2,1
galarías,word,1,2
nadaríamos,word,2,1
galaríamos,word,1,2
nadarían,word,2,1
galarían,word,1,2
nadaré,word,2,1
galaré,word,1,2
nadarás,word,2,1
galarás,word,1,2
nadará,word,2,1
galará,word,1,2
nadaremos,word,2,1
galaremos,word,1,2
nadarán,word,2,1
galarán,word,1,2
narraba,word,2,1
gachaba,word,1,2
narrabas,word,2,1
gachabas,word,1,2
narrábamos,word,2,1
gachábamos,word,1,2
narraban,word,2,1
gachaban,word,1,2
narraría,word,2,1
gacharía,word,1,2
narrarías,word,2,1
gacharías,word,1,2
narraríamos,word,2,1
gacharíamos,word,1,2
narrarían,word,2,1
gacharían,word,1,2
narraré,word,2,1
gacharé,word,1,2
narrarás,word,2,1
gacharás,word,1,2
narrará,word,2,1
gachará,word,1,2
narraremos,word,2,1
gacharemos,word,1,2
narrarán,word,2,1
gacharán,word,1,2
obraba,word,2,1
eplaba,word,1,2
obrabas,word,2,1
eplabas,word,1,2
obrábamos,word,2,1
eplábamos,word,1,2
obraban,word,2,1
eplaban,word,1,2
obraría,word,2,1
eplaría,word,1,2
obrarías,word,2,1
eplarías,word,1,2
obraríamos,word,2,1
eplaríamos,word,1,2
obrarían,word,2,1
eplarían,word,1,2
obraré,word,2,1
eplaré,word,1,2
obrarás,word,2,1
eplarás,word,1,2
obrará,word,2,1
eplará,word,1,2
obraremos,word,2,1
eplaremos,word,1,2
obrarán,word,2,1
eplarán,word,1,2
pactaba,word,2,1
maftaba,word,1,2
pactabas,word,2,1
maftabas,word,1,2
pactábamos,word,2,1
maftábamos,word,1,2
pactaban,word,2,1
maftaban,word,1,2
pactaría,word,2,1
maftaría,word,1,2
pactarías,word,2,1
maftarías,word,1,2
pactaríamos,word,2,1
maftaríamos,word,1,2
pactarían,word,2,1
maftarían,word,1,2
pactaré,word,2,1
maftaré,word,1,2
pactarás,word,2,1
maftarás,word,1,2
pactará,word,2,1
maftará,word,1,2
pactaremos,word,2,1
maftaremos,word,1,2
pactarán,word,2,1
maftarán,word,1,2
quemaba,word,2,1
quijaba,word,1,2
quemabas,word,2,1
quijabas,word,1,2
quemábamos,word,2,1
quijábamos,word,1,2
quemaban,word,2,1
quijaban,word,1,2
quemaría,word,2,1
quijaría,word,1,2
quemarías,word,2,1
quijarías,word,1,2
quemaríamos,word,2,1
quijaríamos,word,1,2
quemarían,word,2,1
quijarían,word,1,2
quemaré,word,2,1
quijaré,word,1,2
quemarás,word,2,1
quijarás,word,1,2
quemará,word,2,1
quijará,word,1,2
quemaremos,word,2,1
quijaremos,word,1,2
quemarán,word,2,1
quijarán,word,1,2
rayaba,word,2,1
sauaba,word,1,2
rayabas,word,2,1
sauabas,word,1,2
rayábamos,word,2,1
sauábamos,word,1,2
rayaban,word,2,1
sauaban,word,1,2
rayaría,word,2,1
sauaría,word,1,2
rayarías,word,2,1
sauarías,word,1,2
rayaríamos,word,2,1
sauaríamos,word,1,2
rayarían,word,2,1
sauarían,word,1,2
rayaré,word,2,1
sauaré,word,1,2
rayarás,word,2,1
sauarás,word,1,2
rayará,word,2,1
sauará,word,1,2
rayaremos,word,2,1
sauaremos,word,1,2
rayarán,word,2,1
sauarán,word,1,2
retaba,word,2,1
cetaba,word,1,2
retabas,word,2,1
cetabas,word,1,2
retábamos,word,2,1
cetábamos,word,1,2
retaban,word,2,1
cetaban,word,1,2
retaría,word,2,1
cetaría,word,1,2
retarías,word,2,1
cetarías,word,1,2
retaríamos,word,2,1
cetaríamos,word,1,2
retarían,word,2,1
cetarían,word,1,2
retaré,word,2,1
cetaré,word,1,2
retarás,word,2,1
cetarás,word,1,2
retará,word,2,1
cetará,word,1,2
retaremos,word,2,1
cetaremos,word,1,2
retarán,word,2,1
cetarán,word,1,2
rimaba,word,2,1
bigaba,word,1,2
rimabas,word,2,1
bigabas,word,1,2
rimábamos,word,2,1
bigábamos,word,1,2
rimaban,word,2,1
bigaban,word,1,2
rimaría,word,2,1
bigaría,word,1,2
rimarías,word,2,1
bigarías,word,1,2
rimaríamos,word,2,1
bigaríamos,word,1,2
rimarían,word,2,1
bigarían,word,1,2
rimaré,word,2,1
bigaré,word,1,2
rimarás,word,2,1
bigarás,word,1,2
rimará,word,2,1
bigará,word,1,2
rimaremos,word,2,1
bigaremos,word,1,2
rimarán,word,2,1
bigarán,word,1,2
rondaba,word,2,1
sindaba,word,1,2
rondabas,word,2,1
sindabas,word,1,2
rondábamos,word,2,1
sindábamos,word,1,2
rondaban,word,2,1
sindaban,word,1,2
rondaría,word,2,1
sindaría,word,1,2
rondarías,word,2,1
sindarías,word,1,2
rondaríamos,word,2,1
sindaríamos,word,1,2
rondarían,word,2,1
sindarían,word,1,2
rondaré,word,2,1
sindaré,word,1,2
rondarás,word,2,1
sindarás,word,1,2
rondará,word,2,1
sindará,word,1,2
rondaremos,word,2,1
sindaremos,word,1,2
rondarán,word,2,1
sindarán,word,1,2
rotaba,word,2,1
focaba,word,1,2
rotabas,word,2,1
focabas,word,1,2
rotábamos,word,2,1
focábamos,word,1,2
rotaban,word,2,1
focaban,word,1,2
rotaría,word,2,1
focaría,word,1,2
rotarías,word,2,1
focarías,word,1,2
rotaríamos,word,2,1
focaríamos,word,1,2
rotarían,word,2,1
focarían,word,1,2
rotaré,word,2,1
focaré,word,1,2
rotarás,word,2,1
focarás,word,1,2
rotará,word,2,1
focará,word,1,2
rotaremos,word,2,1
focaremos,word,1,2
rotarán,word,2,1
focarán,word,1,2
sumaba,word,2,1
runaba,word,1,2
sumabas,word,2,1
runabas,word,1,2
sumábamos,word,2,1
runábamos,word,1,2
sumaban,word,2,1
runaban,word,1,2
sumaría,word,2,1
runaría,word,1,2
sumarías,word,2,1
runarías,word,1,2
sumaríamos,word,2,1
runaríamos,word,1,2
sumarían,word,2,1
runarían,word,1,2
sumaré,word,2,1
runaré,word,1,2
sumarás,word,2,1
runarás,word,1,2
sumará,word,2,1
runará,word,1,2
sumaremos,word,2,1
runaremos,word,1,2
sumarán,word,2,1
runarán,word,1,2
ardía,word,2,1
anría,word,1,2
ardías,word,2,1
anrías,word,1,2
ardíamos,word,2,1
anríamos,word,1,2
ardían,word,2,1
anrían,word,1,2
ardería,word,2,1
anrería,word,1,2
arderías,word,2,1
anrerías,word,1,2
arderíamos,word,2,1
anreríamos,word,1,2
arderían,word,2,1
anrerían,word,1,2
arderé,word,2,1
anreré,word,1,2
arderás,word,2,1
anrerás,word,1,2
arderá,word,2,1
anrerá,word,1,2
arderemos,word,2,1
anreremos,word,1,2
arderán,word,2,1
anrerán,word,1,2
barría,word,2,1
lachía,word,1,2
barrías,word,2,1
lachías,word,1,2
barríamos,word,2,1
lachíamos,word,1,2
barrían,word,2,1
lachían,word,1,2
barrería,word,2,1
lachería,word,1,2
barrerías,word,2,1
lacherías,word,1,2
barreríamos,word,2,1
lacheríamos,word,1,2
barrerían,word,2,1
lacherían,word,1,2
barreré,word,2,1
lacheré,word,1,2
barrerás,word,2,1
lacherás,word,1,2
barrerá,word,2,1
lacherá,word,1,2
barreremos,word,2,1
lacheremos,word,1,2
barrerán,word,2,1
lacherán,word,1,2
cedía,word,2,1
cipía,word,1,2
cedías,word,2,1
cipías,word,1,2
cedíamos,word,2,1
cipíamos,word,1,2
cedían,word,2,1
cipían,word,1,2
cedería,word,2,1
cipería,word,1,2
cederías,word,2,1
ciperías,word,1,2
cederíamos,word,2,1
ciperíamos,word,1,2
cederían,word,2,1
ciperían,word,1,2
cederé,word,2,1
ciperé,word,1,2
cederás,word,2,1
ciperás,word,1,2
cederá,word,2,1
ciperá,word,1,2
cederemos,word,2,1
ciperemos,word,1,2
cederán,word,2,1
ciperán,word,1,2
comía,word,2,1
cetía,word,1,2
comías,word,2,1
cetías,word,1,2
comíamos,word,2,1
cetíamos,word,1,2
comían,word,2,1
cetían,word,1,2
comería,word,2,1
cetería,word,1,2
comerías,word,2,1
ceterías,word,1,2
comeríamos,word,2,1
ceteríamos,word,1,2
comerían,word,2,1
ceterían,word,1,2
comeré,word,2,1
ceteré,word,1,2
comerás,word,2,1
ceterás,word,1,2
comerá,word,2,1
ceterá,word,1,2
comeremos,word,2,1
ceteremos,word,1,2
comerán,word,2,1
ceterán,word,1,2
corría,word,2,1
ceflía,word,1,2
corrías,word,2,1
ceflías,word,1,2
corríamos,word,2,1
ceflíamos,word,1,2
corrían,word,2,1
ceflían,word,1,2
correría,word,2,1
ceflería,word,1,2
correrías,word,2,1
ceflerías,word,1,2
correríamos,word,2,1
cefleríamos,word,1,2
correrían,word,2,1
ceflerían,word,1,2
correré,word,2,1
cefleré,word,1,2
correrás,word,2,1
ceflerás,word,1,2
correrá,word,2,1
ceflerá,word,1,2
correremos,word,2,1
cefleremos,word,1,2
correrán,word,2,1
ceflerán,word,1,2
cosía,word,2,1
poría,word,1,2
cosías,word,2,1
porías,word,1,2
cosíamos,word,2,1
poríamos,word,1,2
cosían,word,2,1
porían,word,1,2
cosería,word,2,1
porería,word,1,2
coserías,word,2,1
porerías,word,1,2
coseríamos,word,2,1
poreríamos,word,1,2
coserían,word,2,1
porerían,word,1,2
coseré,word,2,1
poreré,word,1,2
coserás,word,2,1
porerás,word,1,2
coserá,word,2,1
porerá,word,1,2
coseremos,word,2,1
poreremos,word,1,2
coserán,word,2,1
porerán,word,1,2
lamía,word,2,1
fanía,word,1,2
lamías,word,2,1
fanías,word,1,2
lamíamos,word,2,1
faníamos,word,1,2
lamían,word,2,1
fanían,word,1,2
lamería,word,2,1
fanería,word,1,2
lamerías,word,2,1
fanerías,word,1,2
lameríamos,word,2,1
faneríamos,word,1,2
lamerían,word,2,1
fanerían,word,1,2
lameré,word,2,1
faneré,word,1,2
lamerás,word,2,1
fanerás,word,1,2
lamerá,word,2,1
fanerá,word,1,2
lameremos,word,2,1
faneremos,word,1,2
lamerán,word,2,1
fanerán,word,1,2
metía,word,2,1
ritía,word,1,2
metías,word,2,1
ritías,word,1,2
metíamos,word,2,1
ritíamos,word,1,2
metían,word,2,1
ritían,word,1,2
metería,word,2,1
ritería,word,1,2
meterías,word,2,1
riterías,word,1,2
meteríamos,word,2,1
riteríamos,word,1,2
meterían,word,2,1
riterían,word,1,2
meteré,word,2,1
riteré,word,1,2
meterás,word,2,1
riterás,word,1,2
meterá,word,2,1
riterá,word,1,2
meteremos,word,2,1
riteremos,word,1,2
meterán,word,2,1
riterán,word,1,2
mordía,word,2,1
moncía,word,1,2
mordías,word,2,1
moncías,word,1,2
mordíamos,word,2,1
moncíamos,word,1,2
mordían,word,2,1
moncían,word,1,2
mordería,word,2,1
moncería,word,1,2
morderías,word,2,1
moncerías,word,1,2
morderíamos,word,2,1
monceríamos,word,1,2
morderían,word,2,1
moncerían,word,1,2
morderé,word,2,1
monceré,word,1,2
morderás,word,2,1
moncerás,word,1,2
morderá,word,2,1
moncerá,word,1,2
morderemos,word,2,1
monceremos,word,1,2
morderán,word,2,1
moncerán,word,1,2
prendía,word,2,1
frindía,word,1,2
prendías,word,2,1
frindías,word,1,2
prendíamos,word,2,1
frindíamos,word,1,2
prendían,word,2,1
frindían,word,1,2
prendería,word,2,1
frindería,word,1,2
prenderías,word,2,1
frinderías,word,1,2
prenderíamos,word,2,1
frinderíamos,word,1,2
prenderían,word,2,1
frinderían,word,1,2
prenderé,word,2,1
frinderé,word,1,2
prenderás,word,2,1
frinderás,word,1,2
prenderá,word,2,1
frinderá,word,1,2
prenderemos,word,2,1
frinderemos,word,1,2
prenderán,word,2,1
frinderán,word,1,2
temía,word,2,1
sesía,word,1,2
temías,word,2,1
sesías,word,1,2
temíamos,word,2,1
sesíamos,word,1,2
temían,word,2,1
sesían,word,1,2
temería,word,2,1
sesería,word,1,2
temerías,word,2,1
seserías,word,1,2
temeríamos,word,2,1
seseríamos,word,1,2
temerían,word,2,1
seserían,word,1,2
temeré,word,2,1
seseré,word,1,2
temerás,word,2,1
seserás,word,1,2
temerá,word,2,1
seserá,word,1,2
temeremos,word,2,1
seseremos,word,1,2
temerán,word,2,1
seserán,word,1,2
tosía,word,2,1
somía,word,1,2
tosías,word,2,1
somías,word,1,2
tosíamos,word,2,1
somíamos,word,1,2
tosían,word,2,1
somían,word,1,2
tosería,word,2,1
somería,word,1,2
toserías,word,2,1
somerías,word,1,2
toseríamos,word,2,1
someríamos,word,1,2
toserían,word,2,1
somerían,word,1,2
toseré,word,2,1
someré,word,1,2
toserás,word,2,1
somerás,word,1,2
toserá,word,2,1
somerá,word,1,2
toseremos,word,2,1
someremos,word,1,2
toserán,word,2,1
somerán,word,1,2
vendía,word,2,1
hondía,word,1,2
vendías,word,2,1
hondías,word,1,2
vendíamos,word,2,1
hondíamos,word,1,2
vendían,word,2,1
hondían,word,1,2
vendería,word,2,1
hondería,word,1,2
venderías,word,2,1
honderías,word,1,2
venderíamos,word,2,1
honderíamos,word,1,2
venderían,word,2,1
honderían,word,1,2
venderé,word,2,1
honderé,word,1,2
venderás,word,2,1
honderás,word,1,2
venderá,word,2,1
honderá,word,1,2
venderemos,word,2,1
honderemos,word,1,2
venderán,word,2,1
honderán,word,1,2
cubría,word,2,1
cichía,word,1,2
cubrías,word,2,1
cichías,word,1,2
cubríamos,word,2,1
cichíamos,word,1,2
cubrían,word,2,1
cichían,word,1,2
cubriría,word,2,1
cichiría,word,1,2
cubrirías,word,2,1
cichirías,word,1,2
cubriríamos,word,2,1
cichiríamos,word,1,2
cubrirían,word,2,1
cichirían,word,1,2
cubriré,word,2,1
cichiré,word,1,2
cubrirás,word,2,1
cichirás,word,1,2
cubrirá,word,2,1
cichirá,word,1,2
cubriremos,word,2,1
cichiremos,word,1,2
cubrirán,word,2,1
cichirán,word,1,2
cumplía,word,2,1
cuarría,word,1,2
cumplías,word,2,1
cuarrías,word,1,2
cumplíamos,word,2,1
cuarríamos,word,1,2
cumplían,word,2,1
cuarrían,word,1,2
cumpliría,word,2,1
cuarriría,word,1,2
cumplirías,word,2,1
cuarrirías,word,1,2
cumpliríamos,word,2,1
cuarriríamos,word,1,2
cumplirían,word,2,1
cuarrirían,word,1,2
cumpliré,word,2,1
cuarriré,word,1,2
cumplirás,word,2,1
cuarrirás,word,1,2
cumplirá,word,2,1
cuarrirá,word,1,2
cumpliremos,word,2,1
cuarriremos,word,1,2
cumplirán,word,2,1
cuarrirán,word,1,2
fundía,word,2,1
luntía,word,1,2
fundías,word,2,1
luntías,word,1,2
fundíamos,word,2,1
luntíamos,word,1,2
fundían,word,2,1
luntían,word,1,2
fundiría,word,2,1
luntiría,word,1,2
fundirías,word,2,1
luntirías,word,1,2
fundiríamos,word,2,1
luntiríamos,word,1,2
fundirían,word,2,1
luntirían,word,1,2
fundiré,word,2,1
luntiré,word,1,2
fundirás,word,2,1
luntirás,word,1,2
fundirá,word,2,1
luntirá,word,1,2
fundiremos,word,2,1
luntiremos,word,1,2
fundirán,word,2,1
luntirán,word,1,2
gruñía,word,2,1
bruvía,word,1,2
gruñías,word,2,1
bruvías,word,1,2
gruñíamos,word,2,1
bruvíamos,word,1,2
gruñían,word,2,1
bruvían,word,1,2
gruñiría,word,2,1
bruviría,word,1,2
gruñirías,word,2,1
bruvirías,word,1,2
gruñiríamos,word,2,1
bruviríamos,word,1,2
gruñirían,word,2,1
bruvirían,word,1,2
gruñiré,word,2,1
bruviré,word,1,2
gruñirás,word,2,1
bruvirás,word,1,2
gruñirá,word,2,1
bruvirá,word,1,2
gruñiremos,word,2,1
bruviremos,word,1,2
gruñirán,word,2,1
bruvirán,word,1,2
partía,word,2,1
mardía,word,1,2
partías,word,2,1
mardías,word,1,2
partíamos,word,2,1
mardíamos,word,1,2
partían,word,2,1
mardían,word,1,2
partiría,word,2,1
mardiría,word,1,2
partirías,word,2,1
mardirías,word,1,2
partiríamos,word,2,1
mardiríamos,word,1,2
partirían,word,2,1
mardirían,word,1,2
partiré,word,2,1
mardiré,word,1,2
partirás,word,2,1
mardirás,word,1,2
partirá,word,2,1
mardirá,word,1,2
partiremos,word,2,1
mardiremos,word,1,2
partirán,word,2,1
mardirán,word,1,2
subía,word,2,1
tujía,word,1,2
subías,word,2,1
tujías,word,1,2
subíamos,word,2,1
tujíamos,word,1,2
subían,word,2,1
tujían,word,1,2
subiría,word,2,1
tujiría,word,1,2
subirías,word,2,1
tujirías,word,1,2
subiríamos,word,2,1
tujiríamos,word,1,2
subirían,word,2,1
tujirían,word,1,2
subiré,word,2,1
tujiré,word,1,2
subirás,word,2,1
tujirás,word,1,2
subirá,word,2,1
tujirá,word,1,2
subiremos,word,2,1
tujiremos,word,1,2
subirán,word,2,1
tujirán,word,1,2
sufría,word,2,1
tuplía,word,1,2
sufrías,word,2,1
tuplías,word,1,2
sufríamos,word,2,1
tuplíamos,word,1,2
sufrían,word,2,1
tuplían,word,1,2
sufriría,word,2,1
tupliría,word,1,2
sufrirías,word,2,1
tuplirías,word,1,2
sufriríamos,word,2,1
tupliríamos,word,1,2
sufrirían,word,2,1
tuplirían,word,1,2
sufriré,word,2,1
tupliré,word,1,2
sufrirás,word,2,1
tuplirás,word,1,2
sufrirá,word,2,1
tuplirá,word,1,2
sufriremos,word,2,1
tupliremos,word,1,2
sufrirán,word,2,1
tuplirán,word,1,2
unía,word,2,1
imía,word,1,2
unías,word,2,1
imías,word,1,2
uníamos,word,2,1
imíamos,word,1,2
unían,word,2,1
imían,word,1,2
uniría,word,2,1
imiría,word,1,2
unirías,word,2,1
imirías,word,1,2
uniríamos,word,2,1
imiríamos,word,1,2
unirían,word,2,1
imirían,word,1,2
uniré,word,2,1
imiré,word,1,2
unirás,word,2,1
imirás,word,1,2
unirá,word,2,1
imirá,word,1,2
uniremos,word,2,1
imiremos,word,1,2
unirán,word,2,1
imirán,word,1,2
